iter	MultiClassOneVsAll
0	-0.6697636663
1	-0.6470596543
2	-0.6264419781
3	-0.6066883759
4	-0.5870125696
5	-0.5686276463
6	-0.5511871409
7	-0.5343295247
8	-0.5184663633
9	-0.5036370941
10	-0.4895920512
11	-0.4760507653
12	-0.4636309464
13	-0.4506438081
14	-0.4382758362
15	-0.4270949624
16	-0.4157209303
17	-0.4046992956
18	-0.3947283347
19	-0.3850881369
20	-0.3753027109
21	-0.3661844552
22	-0.3571260989
23	-0.348606396
24	-0.3401890342
25	-0.3323820881
26	-0.3245724902
27	-0.3170376898
28	-0.3097033708
29	-0.3026013916
30	-0.2957701261
31	-0.2891794761
32	-0.2831949302
33	-0.2770947612
34	-0.2712088362
35	-0.2653502639
36	-0.2599921877
37	-0.2545846698
38	-0.2493845896
39	-0.244313063
40	-0.2394180473
41	-0.2346597007
42	-0.2300641954
43	-0.2256361189
44	-0.2213410498
45	-0.2171832289
46	-0.21310205
47	-0.2091770603
48	-0.2054017227
49	-0.2016606905
50	-0.1980373497
51	-0.1945468483
52	-0.1911976165
53	-0.1878830764
54	-0.1847099656
55	-0.1816124181
56	-0.1785515525
57	-0.1756226505
58	-0.1727728666
59	-0.1699703489
60	-0.1672941421
61	-0.1646988715
62	-0.1621387139
63	-0.1596437533
64	-0.1572232782
65	-0.1548837491
66	-0.1525959382
67	-0.1503827237
68	-0.1482458223
69	-0.1461307687
70	-0.1440815478
71	-0.1420857209
72	-0.1401359596
73	-0.1382623495
74	-0.1364141531
75	-0.1346166866
76	-0.1328421778
77	-0.1311322017
78	-0.1294640118
79	-0.1278524899
80	-0.1262526728
81	-0.1247090962
82	-0.1231934534
83	-0.1217166095
84	-0.120293954
85	-0.1189081592
86	-0.1175566054
87	-0.1162096819
88	-0.1149244142
89	-0.1136411399
90	-0.1124138422
91	-0.1111969303
92	-0.109996892
93	-0.1088361288
94	-0.1077091238
95	-0.106621025
96	-0.1055385692
97	-0.1044816695
98	-0.1034470225
99	-0.1024433917
100	-0.1014655276
101	-0.1005046239
102	-0.09955873046
103	-0.09864686499
104	-0.09772760932
105	-0.09685190003
106	-0.09597269995
107	-0.09514841927
108	-0.09432523334
109	-0.09351066356
110	-0.09271509245
111	-0.0919921454
112	-0.09123000849
113	-0.09050916088
114	-0.0898599693
115	-0.08913711449
116	-0.08849700646
117	-0.08780165238
118	-0.08716430912
119	-0.08650314069
120	-0.08588352791
121	-0.08524468177
122	-0.08461731235
123	-0.08398051706
124	-0.08336231213
125	-0.08285488176
126	-0.08236344383
127	-0.08177866566
128	-0.08128844126
129	-0.08076878695
130	-0.08025335792
131	-0.07975091732
132	-0.07922054987
133	-0.07878200522
134	-0.07835165269
135	-0.07789869948
136	-0.07750283272
137	-0.07707004537
138	-0.07668306991
139	-0.07631297609
140	-0.07595580924
141	-0.07560773724
142	-0.07518442689
143	-0.07477615411
144	-0.07438155528
145	-0.07404596021
146	-0.07369930815
147	-0.07325898051
148	-0.07294926954
149	-0.07264597873
150	-0.07230851286
151	-0.07201918074
152	-0.07165273661
153	-0.07138982822
154	-0.07105261456
155	-0.07072704782
156	-0.07047594968
157	-0.07015362817
158	-0.0697489081
159	-0.06951539036
160	-0.06917693097
161	-0.06890068239
162	-0.06857354218
163	-0.06819725393
164	-0.06791182593
165	-0.06763498859
166	-0.06742470322
167	-0.06715451351
168	-0.06692499873
169	-0.06673705371
170	-0.06647500735
171	-0.06627317071
172	-0.06600917004
173	-0.06583853509
174	-0.06565199367
175	-0.0654534496
176	-0.06526962944
177	-0.06497392471
178	-0.06481903498
179	-0.06453491237
180	-0.06429189218
181	-0.06412506984
182	-0.06379683191
183	-0.06362497389
184	-0.06342155865
185	-0.06327562122
186	-0.06312989847
187	-0.06298400693
188	-0.06272112679
189	-0.06257799797
190	-0.06242535373
191	-0.0623057031
192	-0.06212732868
193	-0.06187053296
194	-0.06172776494
195	-0.06159926829
196	-0.06140053525
197	-0.06127826783
198	-0.06110360799
199	-0.06098898737
200	-0.06068950995
201	-0.06045964001
202	-0.06025045792
203	-0.06014422101
204	-0.06003860211
205	-0.05983989598
206	-0.05964366614
207	-0.05941236063
208	-0.05925852378
209	-0.05910267154
210	-0.0589837278
211	-0.05889328378
212	-0.05877045835
213	-0.05857518924
214	-0.05846742842
215	-0.0582361799
216	-0.05802582668
217	-0.05785005313
218	-0.05771620842
219	-0.05760648671
220	-0.05738873825
221	-0.05727740581
222	-0.05718407789
223	-0.05704607713
224	-0.05683308262
225	-0.05670416258
226	-0.05653635816
227	-0.05640725877
228	-0.05619511165
229	-0.05608214073
230	-0.05598358552
231	-0.05577858107
232	-0.05570954884
233	-0.05561497162
234	-0.05551835439
235	-0.0553985394
236	-0.05529833102
237	-0.0550525988
238	-0.05498864431
239	-0.05492943843
240	-0.05481263872
241	-0.0546737811
242	-0.05447412585
243	-0.05431991726
244	-0.05419133725
245	-0.05406443365
246	-0.0539699238
